172.18.0.1 - - [13/Mar/2024:12:07:24 +0000] "GET / HTTP/1.1" 200 2693 "-" "curl/7.87.0"
172.28.0.2 - - [16/Mar/2024:10:49:15 +0000] "GET /1/list HTTP/1.1" 404 449 "-" "GuzzleHttp/7"
172.28.0.1 - - [16/Mar/2024:10:58:16 +0000] "GET /2/workspace HTTP/1.1" 404 490 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:10:58:17 +0000] "GET /favicon.ico HTTP/1.1" 404 489 "http://localhost:8082/2/workspace" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:10:58:49 +0000] "GET /2/workspace HTTP/1.1" 404 490 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:10:58:52 +0000] "GET / HTTP/1.1" 200 956 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:10:59:20 +0000] "GET / HTTP/1.1" 200 996 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:00:12 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [16/Mar/2024:11:00:15 +0000] "GET / HTTP/1.1" 200 994 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:00:27 +0000] "GET / HTTP/1.1" 200 1000 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:00:50 +0000] "GET / HTTP/1.1" 200 990 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:01:08 +0000] "GET / HTTP/1.1" 200 495 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:01:23 +0000] "GET / HTTP/1.1" 200 944 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:01:49 +0000] "GET / HTTP/1.1" 200 910 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:02:41 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [16/Mar/2024:11:02:55 +0000] "GET / HTTP/1.1" 200 1094 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:03:15 +0000] "GET / HTTP/1.1" 200 1226 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:03:37 +0000] "GET / HTTP/1.1" 200 1081 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:04:19 +0000] "GET / HTTP/1.1" 200 1080 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:04:20 +0000] "GET / HTTP/1.1" 200 1078 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:04:58 +0000] "GET / HTTP/1.1" 200 1082 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:05:07 +0000] "GET / HTTP/1.1" 200 1084 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:05:41 +0000] "GET / HTTP/1.1" 200 1216 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
172.28.0.1 - - [16/Mar/2024:11:06:33 +0000] "-" 408 0 "-" "-"
172.28.0.1 - - [16/Mar/2024:11:10:12 +0000] "GET / HTTP/1.1" 200 1142 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
